HOST,ISOLATE_CODE,ISOLATE,BLOCK,TRIAL,AUSPC,TUBER_YIELD_g,TUBER_COUNT,STEM_INFECTION
1,1,1-1.1,1,1,670,0,0,0
1,2,1-2.1,1,1,1090,0,0,0
1,3,1-3.1,1,1,2155,0,0,1
1,4,2-1.1,1,1,2150,0,0,0.75
1,5,2-2.1,1,1,812.5,0,0,0
1,6,2-3.1,1,1,425,17.4,2,0
1,7,3-1.1,1,1,487.5,0,0,0
1,8,3-2.1,1,1,497.5,0,0,0
1,9,3-3.1,1,1,810,0,0,0
1,10,1-1.2,1,1,470,0,0,0
1,11,1-2.2,1,1,1010,0,0,0
1,12,1-3.2,1,1,1700,0,0,1
1,13,2-1.2,1,1,2050,0,0,0.87
1,14,2-2.2,1,1,1925,0,0,0.85
1,15,2-3.2,1,1,490,0,0,0
1,16,3-1.2,1,1,500,0,0,0
1,17,3-2.2,1,1,455,0,0,0
1,18,3-3.2,1,1,712.5,0,0,0
1,19,1-1.3,1,1,332.5,0,0,0
1,20,1-2.3,1,1,1570,0,0,0.63
1,21,1-3.3,1,1,1175,0,0,0.86
1,22,2-1.3,1,1,517.5,15.1,2,0
1,23,2-2.3,1,1,440,25,1,0
1,24,2-3.3,1,1,930,0,0,0
1,25,3-1.3,1,1,617.5,0,0,0
1,26,3-2.3,1,1,570,0,0,0
1,27,3-3.3,1,1,1932.5,0,0,1
1,28,1-1.4,1,1,625,0,0,0
1,29,1-2.4,1,1,490,0,0,0
1,30,1-3.4,1,1,1625,0,0,0
1,31,2-1.4,1,1,1455,0,0,0
1,32,2-2.4,1,1,1360,0,0,0
1,33,2-3.4,1,1,1000,16.1,2,0
1,34,3-1.4,1,1,382.5,12.1,1,0
1,35,3-2.4,1,1,1055,19.2,3,0
1,36,3-3.4,1,1,1250,0,0,0
1,37,H20,1,1,1255,11.4,1,0
1,1,1-1.1,2,1,575,0,0,0.94
1,2,1-2.1,2,1,747.5,0,0,0
1,3,1-3.1,2,1,635,0,0,0.9
1,4,2-1.1,2,1,1010,0,0,0
1,5,2-2.1,2,1,482.5,6.1,1,0
1,6,2-3.1,2,1,1640,21.5,2,0
1,7,3-1.1,2,1,477.5,12.1,2,0
1,8,3-2.1,2,1,695,0,0,0
1,9,3-3.1,2,1,1820,0,0,0.67
1,10,1-1.2,2,1,770,0,0,0
1,11,1-2.2,2,1,1615,0,0,0.71
1,12,1-3.2,2,1,1240,0,0,0
1,13,2-1.2,2,1,1190,0,0,0
1,14,2-2.2,2,1,1150,0,0,0
1,15,2-3.2,2,1,610,11.6,1,0
1,16,3-1.2,2,1,995,17.9,1,0
1,17,3-2.2,2,1,830,9.9,1,0
1,18,3-3.2,2,1,1650,13.6,2,0.94
1,19,1-1.3,2,1,955,10.2,2,0
1,20,1-2.3,2,1,2165,0,0,0.5
1,21,1-3.3,2,1,1880,0,0,1
1,22,2-1.3,2,1,1255,0,0,0
