TRIAL,HOST,ISOLATE,BLOCK,INCIDENCE_OF_INFECTED STEMS_u_1,INCIDENCE_OF_INFECTED STEMS_u_2,INCIDENCE_OF_INFECTED STEMS_u_3,INCIDENCE_OF_INFECTED STEMS_u_4
1,POTATO,1,1,1,0,1,1
1,POTATO,2,1,1,0,1,1
1,POTATO,3,1,1,0,1,1
1,POTATO,4,1,0,0,0,0
1,BARLEY,1,1,0,0,1,1
1,BARLEY,2,1,0,0,1,1
1,BARLEY,3,1,0,0,1,1
1,BARLEY,4,1,0,0,0,0
1,MUSTARD,1,1,1,0,1,1
1,MUSTARD,2,1,1,0,1,1
1,MUSTARD,3,1,1,0,1,1
1,MUSTARD,4,1,0,0,0,0
1,POTATO,1,2,1,1,1,1
1,POTATO,2,2,1,1,1,1
1,POTATO,3,2,0,0,1,0
1,POTATO,4,2,0,0,0,0
1,BARLEY,1,2,0,0,1,1
1,BARLEY,2,2,0,0,1,1
1,BARLEY,3,2,0,0,1,1
1,BARLEY,4,2,0,0,0,0
1,MUSTARD,1,2,1,0,0,1
1,MUSTARD,2,2,1,0,1,1
1,MUSTARD,3,2,1,0,1,1
1,MUSTARD,4,2,0,0,0,0
1,POTATO,1,3,1,1,0,1
1,POTATO,2,3,1,0,1,1
1,POTATO,3,3,1,0,1,1
1,POTATO,4,3,0,0,0,0
1,BARLEY,1,3,0,0,1,1
1,BARLEY,2,3,1,0,1,0
1,BARLEY,3,3,0,0,1,1
1,BARLEY,4,3,0,0,0,0
1,MUSTARD,1,3,1,0,0,1
1,MUSTARD,2,3,1,0,1,1
1,MUSTARD,3,3,1,0,1,1
1,MUSTARD,4,3,0,0,0,0
1,POTATO,1,4,1,1,0,1
1,POTATO,2,4,1,0,1,1
1,POTATO,3,4,1,0,1,1
1,POTATO,4,4,0,0,0,0
1,BARLEY,1,4,0,0,1,1
1,BARLEY,2,4,0,0,1,0
1,BARLEY,3,4,0,0,1,1
1,BARLEY,4,4,0,0,0,0
1,MUSTARD,1,4,1,0.5,0,1
1,MUSTARD,2,4,1,0,1,1
