TRIAL,HOST,ISOLATE,BLOCK,YEILD_g,TUBER_NO.,AUSPC
1,POTATO,1,1,68.6,2,2695
1,POTATO,2,1,69,4,3132.5
1,POTATO,3,1,37.1,1,2677.5
1,POTATO,4,1,60.7,3,1610
1,BARLEY,1,1,31.5,.,0
1,BARLEY,2,1,20.3,.,0
1,BARLEY,3,1,21.5,.,0
1,BARLEY,4,1,22.5,.,0
1,MUSTARD,1,1,11.6,.,0
1,MUSTARD,2,1,6.5,.,0
1,MUSTARD,3,1,9.7,.,0
1,MUSTARD,4,1,15,.,0
1,POTATO,1,2,40.6,2,2835
1,POTATO,2,2,21.4,2,2765
1,POTATO,3,2,87.7,2,2940
1,POTATO,4,2,48.8,3,2012.5
1,BARLEY,1,2,19.5,.,0
1,BARLEY,2,2,21.3,.,0
1,BARLEY,3,2,13.1,.,0
1,BARLEY,4,2,18,.,0
1,MUSTARD,1,2,8.6,.,0
1,MUSTARD,2,2,4.9,.,0
1,MUSTARD,3,2,10.7,.,0
1,MUSTARD,4,2,9.7,.,0
1,POTATO,1,3,49.6,4,2467.5
1,POTATO,2,3,55.1,3,3255
1,POTATO,3,3,57.5,2,2362.5
1,POTATO,4,3,44.4,2,2152.5
1,BARLEY,1,3,24.9,.,0
1,BARLEY,2,3,18.2,.,0
1,BARLEY,3,3,15.6,.,0
1,BARLEY,4,3,11,.,0
1,MUSTARD,1,3,8.5,.,0
1,MUSTARD,2,3,8.8,.,0
1,MUSTARD,3,3,8.8,.,0
1,MUSTARD,4,3,8.3,.,0
1,POTATO,1,4,50.8,2,2852.5
1,POTATO,2,4,55,5,2782.5
1,POTATO,3,4,49.1,3,1837.5
1,POTATO,4,4,41.9,1,1697.5
1,BARLEY,1,4,20.7,.,0
1,BARLEY,2,4,18.4,.,0
1,BARLEY,3,4,0,.,0
1,BARLEY,4,4,12.9,.,0
1,MUSTARD,1,4,8.6,.,0
1,MUSTARD,2,4,6.7,.,0
1,MUSTARD,3,4,8.5,.,0
1,MUSTARD,4,4,18.3,.,0
1,POTATO,1,5,53.5,2,2765
1,POTATO,2,5,67.1,3,3325
1,POTATO,3,5,58.8,3,1365
1,POTATO,4,5,43.9,2,2275
1,BARLEY,1,5,22.4,.,0
1,BARLEY,2,5,32.9,.,0
1,BARLEY,3,5,22.7,.,0
1,BARLEY,4,5,13.9,.,0
1,MUSTARD,1,5,12.5,.,0
1,MUSTARD,2,5,7.5,.,0
1,MUSTARD,3,5,15.2,.,0
1,MUSTARD,4,5,8.6,.,0
1,POTATO,1,6,58.2,3,2835
1,POTATO,2,6,43.2,2,2905
1,POTATO,3,6,40.6,2,2047.5
1,POTATO,4,6,56.6,4,1767.5
1,BARLEY,1,6,36.6,.,0
1,BARLEY,2,6,34.4,.,0
1,BARLEY,3,6,27.2,.,0
1,BARLEY,4,6,17,.,0
1,MUSTARD,1,6,9.8,.,0
1,MUSTARD,2,6,6.4,.,0
1,MUSTARD,3,6,13.3,.,0
1,MUSTARD,4,6,10.6,.,0
1,POTATO,1,7,53.8,3,2747.5
1,POTATO,2,7,37.3,2,2905
1,POTATO,3,7,18.6,2,1820
1,POTATO,4,7,68.3,2,1925
1,BARLEY,1,7,22.7,.,0
1,BARLEY,2,7,33,.,0
1,BARLEY,3,7,31.4,.,0
1,BARLEY,4,7,13.5,.,0
1,MUSTARD,1,7,9.6,.,0
1,MUSTARD,2,7,8.8,.,0
1,MUSTARD,3,7,10,.,0
1,MUSTARD,4,7,10.3,.,0
1,POTATO,1,8,65.9,4,.
1,POTATO,2,8,63,3,.
1,POTATO,3,8,61.9,3,.
1,POTATO,4,8,47.1,3,1907.5
1,BARLEY,1,8,32.9,.,0
1,BARLEY,2,8,29.2,.,0
1,BARLEY,3,8,34.6,.,0
1,BARLEY,4,8,19.4,.,0
1,MUSTARD,1,8,12.6,.,0
1,MUSTARD,2,8,8.3,.,0
1,MUSTARD,3,8,10.5,.,0
1,MUSTARD,4,8,9.5,.,0
1,POTATO,1,9,.,.,.
1,POTATO,2,9,.,.,.
1,POTATO,3,9,.,.,.
1,POTATO,4,9,51.7,1,.
1,BARLEY,1,9,,.,0
1,BARLEY,2,9,24.1,.,0
1,BARLEY,3,9,25.1,.,0
1,BARLEY,4,9,28.2,.,0
1,MUSTARD,1,9,.,.,0
1,MUSTARD,2,9,.,.,0
1,MUSTARD,3,9,.,.,0
1,MUSTARD,4,9,8.9,.,0
1,POTATO,1,10,.,.,.
1,POTATO,2,10,.,.,.
1,POTATO,3,10,.,.,.
1,POTATO,4,10,.,.,.
1,BARLEY,1,10,24.4,.,0
1,BARLEY,2,10,.,.,0
1,BARLEY,3,10,.,.,0
1,BARLEY,4,10,24.6,.,0
1,MUSTARD,1,10,.,.,0
